"key";"en";"ru"
"*Orders after 1pm will start processing the next day";"*Orders after 1pm will start processing the next day";""
"-A deck must contain 50 cards. -You may include up to 4 copies of any card with the same name in your deck. -Shuffle your deck and place it in your Deck Area. -Draw 5 cards as your starting hand. -You may mulligan once by placing your hand to the bottom of your deck, then draw 5 new cards. Shuffle your deck afterwards. -Place the top 4 cards of your deck face-down into your Guardian Area. -Each player start with 500 Tamer Points.";"-A deck must contain 50 cards.
-You may include up to 4 copies of any card with the same name in your deck.
-Shuffle your deck and place it in your Deck Area.
-Draw 5 cards as your starting hand.
-You may mulligan once by placing your hand to the bottom of your deck, then draw 5 new cards. Shuffle your deck afterwards.
-Place the top 4 cards of your deck face-down into your Guardian Area.
-Each player start with 500 Tamer Points.";""
"-At the start of your turn, draw 1 card. -You may play Tetramon card by placing it into one of the Elemental Areas. -When a card is played, its Play Effect will be triggered. -An Evolution Card may only be played by placing it on top of the Tetramon it evolves from. -Basic Tetramon cannot evolve on the turn it is played. -You can evolve as many times as you like during your turn. -You may only play Basic Card in the same Elemental Area once per turn. -When playing a Basic Card, discard any cards currently on that Elemental Area before placing the new card.";"-At the start of your turn, draw 1 card.
-You may play Tetramon card by placing it into one of the Elemental Areas.
-When a card is played, its Play Effect will be triggered. 
-An Evolution Card may only be played by placing it on top of the Tetramon it evolves from.
-Basic Tetramon cannot evolve on the turn it is played.
-You can evolve as many times as you like during your turn.
-You may only play Basic Card in the same Elemental Area once per turn.
-When playing a Basic Card, discard any cards currently on that Elemental Area before placing the new card.";""
"-Can sell old shelf";"-Can sell old shelf";""
"-Cloud save & achievement";"-Cloud save & achievement";""
"-Collecting card will give you 1 pts for every 10 fame on the card";"-Collecting card will give you 1 pts for every 10 fame on the card";""
"-Collecting cards will give points";"-Collecting cards will give points";""
"-Controller support & keybind";"-Controller support & keybind";""
"-Customer review app";"-Customer review app";""
"-Customer trade cards";"-Customer trade cards";""
"-Difficulty mode";"-Difficulty mode";""
"-Each shop upgrade will give 10 pts";"-Each shop upgrade will give 10 pts";""
"-Each time a player's Tamer Points reach 400, 300, 200, or 100, that player takes 1 card from the top of their Guardian Area and adds it to their hand.";"-Each time a player's Tamer Points reach 400, 300, 200, or 100, that player takes 1 card from the top of their Guardian Area and adds it to their hand.";""
"-Every 100 customer purchase made give 1 point";"-Every 100 customer purchase made give 1 point";""
"-Every 100 customer visit give 1 point";"-Every 100 customer visit give 1 point";""
"-Grading card";"-Grading card";""
"-Hire worker for automation";"-Hire worker for automation";""
"-Host game able to edt format";"-Host game able to edt format";""
"-Item & card price change daily";"-Item & card price change daily";""
"-More TCG types";"-More TCG types";""
"-More shelf & table types";"-More shelf & table types";""
"-More shop product types";"-More shop product types";""
"-Opening card packs will give pts";"-Opening card packs will give pts";""
"-Organize tournament";"-Organize tournament";""
"-Playable TCG";"-Playable TCG";""
"-Random events may occur";"-Random events may occur";""
"-Rent and bill";"-Rent and bill";""
"-Selling item will give you 1 pts for every 100 item weight";"-Selling item will give you 1 pts for every 100 item weight";""
"-Shop decoration";"-Shop decoration";""
"-The first player to reduce their opponent s Tamer Points to 0 wins the game.";"-The first player to reduce their opponent’s Tamer Points to 0 wins the game.";""
"-Unlocking and upgrading shelf, vehicle, or items will give points";"-Unlocking and upgrading shelf, vehicle, or items will give points";""
"-Unlocking shop room, unlocking and upgrading shelf will give pts";"-Unlocking shop room, unlocking and upgrading shelf will give pts";""
"-Warehouse room";"-Warehouse room";""
"-When you have finished playing cards, you may end your Main Phase and proceed to the Attack Phase. -The starting player skips the Attack Phase on their first turn. -Attack power is determined by the combined Elemental Power of your Tetramon and the Elemental Area they are placed on.";"-When you have finished playing cards, you may end your Main Phase and proceed to the Attack Phase.
-The starting player skips the Attack Phase on their first turn.
-Attack power is determined by the combined Elemental Power of your Tetramon and the Elemental Area they are placed on.";""
"... ...";"... ...";""
"... Bye ...";"... Bye ...";""
"100 Cards";"100 Cards";""
"1st";"1st";""
"1st Attack";"1st";""
"1st Edition";"1st Edition";""
"2X2 Cabinet";"2X2 Cabinet";""
"2nd";"2nd";""
"2nd Attack";"2nd";""
"3rd";"3rd";""
"A battle worth remembering. Thanks for the duel.";"A battle worth remembering. Thanks for the duel.";""
"A different existing game account is found.";"A different existing game account is found.";""
"A save file already exists. Do you want to delete the save file and start a new shop?";"A save file already exists. Do you want to delete the save file and start a new shop?";""
"ACCEPTED!";"ACCEPTED!";""
"Accept";"Accept";""
"Accessories";"Accessories";""
"Accessory";"Accessory";""
"Achievement";"Achievement";""
"Activate";"Activate";""
"Activated";"Activated";""
"Add";"Add";""
"Add Card";"Add Card";""
"Add Item";"Add Item";""
"Add To Cart";"Add To Cart";""
"Add XXX Freeze Counter to opponent. If there are YYY or more Freeze Counter, remove them all, your opponent's Tetramon cannot attack next turn.";"Add XXX Freeze Counter to opponent. If there are YYY or more Freeze Counter, remove them all, your opponent's Tetramon cannot attack next turn.";""
"Add XXX Tamer Shield for each Guardian card you've taken.";"Add XXX Tamer Shield for each Guardian card you've taken.";""
"Add XXX Tamer Shield that blocks damage from your opponent's attack.";"Add XXX Tamer Shield that blocks damage from your opponent's attack.";""
"Add the item by tapping this button.";"Add the item by tapping this button.";""
"Adventurous";"Adventurous";""
"Advertisement";"Advertisement";""
"Aetheria";"Aetheria";""
"Aetheria RPG";"Aetheria RPG";""
"Aetheria RPG Pack";"Aetheria RPG Card Pack";""
"Affection";"Affection";""
"Affluent";"Affluent";""
"Album Next 10 Page";"Album Next 10 Page";""
"Album Next Page";"Album Next Page";""
"Album Previous 10 Page";"Album Previous 10 Page";""
"Album Previous Page";"Album Previous Page";""
"All";"All";""
"All element deals XXX extra damage this turn";"All element deals XXX extra damage this turn";""
"All foil cards might XXX price";"All foil cards might XXX price";""
"All non-foil cards might XXX price";"All non-foil cards might XXX price";""
