"file";"path_id";"class";"object";"field";"value"
"globalgamemanagers.assets";"3656";"UnityEngine.InputSystem.InputSettings";"InputSystem.inputsettings";"m_Name";"InputSystem.inputsettings"
"level0";"9146";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/DisableController Toggle/Label";"m_text";"Disable Controller"
"level0";"9147";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Resolution_TMP/Resolution Dropdown/Label";"m_text";"Option A"
"level0";"9148";"TMPro.TextMeshProUGUI";"Canvas/TranslateText";"m_text";"Insert Shop Name Here"
"level0";"9149";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Refresh Rate_TMP/Resolution Dropdown/Template/Viewport/Content/Item/Item Label";"m_text";"Option A"
"level0";"9150";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/FPS Text_TMP";"m_text";"Frames Per Second"
"level0";"9151";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/FPS Text_TMP/FPS Dropdown/Template/Viewport/Content/Item/Item Label";"m_text";"Option A"
"level0";"9152";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/SaveLoadSlotPanelUI/TopUIGrp/UIGrp/Mask/UIGroup/ShopLevel";"m_text";"Lv 5"
"level0";"9153";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/SaveLoadSlotPanelUI/TopUIGrp/UIGrp/Mask/UIGroup/ShopLevelText";"m_text";"Shop Level:"
"level0";"9154";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Quality Preset_TMP/Quality Dropdown/Label";"m_text";"Option A"
"level0";"9155";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Apply Button/Text (Legacy)";"m_text";"Apply"
"level0";"9156";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Refresh Rate_TMP/Resolution Dropdown/Label";"m_text";"Option A"
"level0";"9157";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Resolution_TMP/Resolution Dropdown/Template/Viewport/Content/Item/Item Label";"m_text";"Option A"
"level0";"9158";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Quality Preset_TMP/Quality Dropdown/Template/Viewport/Content/Item/Item Label";"m_text";"Option A"
"level0";"9159";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Refresh Rate_TMP";"m_text";"Refresh Rate"
"level0";"9160";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Quality Preset_TMP";"m_text";"Quality Preset"
"level0";"9161";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/TitleText_SaveGame";"m_text";"Save Game"
"level0";"9162";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Resolution_TMP";"m_text";"Resolution"
"level0";"9163";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/Undo & Reset/Reset Button/Text (Legacy)";"m_text";"Reset"
"level0";"9164";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/Settings Content/FPS Text_TMP/FPS Dropdown/Label";"m_text";"Option A"
"level0";"9165";"TMPro.TextMeshProUGUI";"Canvas/SaveLoadGameSlotSelectScreen/ScreenGrp/AnimGrp/SaveLoadSlotPanelUI/TopUIGrp/UIGrp/LockBtn/BtnImageGrp/Text";"m_text";"Load"
"level0";"9166";"TMPro.TextMeshProUGUI";"Canvas/SettingScreen/ScreenGrp/GameSettingBtn/AnimGrp/BGBarGrp/BtnImageGrp/Text";"m_text";"Game"
